Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
ALT DEL  REP 11TH,Holly  ANDERSON,"City--1st Ward, 1st Precinct",9,0,0,0,9,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,"City--1st Ward, 3rd Precinct",2,0,0,0,2,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Berrysburg Borough,23,0,0,0,23,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Dauphin Borough,36,0,0,0,36,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Elizabethville Borough,78,1,0,0,79,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Gratz Borough,53,0,0,0,53,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Halifax Borough,38,2,0,0,40,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Highspire--1st Precinct,43,1,0,0,44,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Highspire--2nd Precinct,38,0,0,0,38,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Lykens Borough--1st Ward,40,0,0,0,40,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Lykens Borough--2nd Ward,59,1,0,0,60,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Millersburg--1st Ward,60,1,0,0,61,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Millersburg--2nd Ward,71,1,0,0,72,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Paxtang Borough,66,3,0,0,69,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Penbrook Borough--1st Ward,15,0,0,0,15,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Penbrook Borough--2nd Ward,20,0,0,0,20,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Penbrook Borough--3rd Ward,22,0,0,0,22,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Penbrook Borough--4th Ward,36,0,0,0,36,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Steelton--1st Ward,28,1,0,0,29,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,"Steelton--2nd Ward, 1st Precinct",33,1,0,0,34,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,"Steelton--2nd Ward, 2nd Precinct",30,0,0,0,30,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,"Steelton--3rd Ward, 1st Precinct",9,0,0,0,9,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,"Steelton--3rd Ward, 2nd Precinct",17,0,0,0,17,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Steelton--4th Ward,18,1,0,0,19,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Pillow Borough,20,1,0,0,21,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Williamstown--1st Ward,37,2,0,0,39,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Williamstown--2nd Ward,22,1,0,0,23,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Halifax Twp--1st Precinct,126,4,0,0,130,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Halifax Twp--2nd Precinct,133,3,0,0,136,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Jackson Township,107,1,0,0,108,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Jefferson Township,35,0,0,0,35,7543,181,1,0,7725
ALT DEL  REP 11TH,Holly  ANDERSON,Lower Paxton Twp--1st Precinct,82,1,0,0,83,7543,181,1,0,7725
