Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
ATTORNEY GENERAL,David J. FREED,"City--1st Ward, 1st Precinct",67,2,0,0,69,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--1st Ward, 2nd Precinct",116,1,0,0,117,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--1st Ward, 3rd Precinct",45,0,1,0,46,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--2nd Ward, 1st Precinct",57,2,0,0,59,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--2nd Ward, 2nd Precinct",44,3,0,0,47,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--3rd Ward,51,3,0,0,54,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--4th Ward,98,5,1,0,104,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--5th Ward,184,8,0,0,192,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--6th Ward,95,3,0,0,98,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--7th Ward, 1st Precinct",30,1,0,0,31,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--7th Ward, 2nd Precinct",46,2,0,0,48,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--8th Ward,17,3,0,0,20,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--9th Ward, 1st Precinct",34,2,0,0,36,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--9th Ward, 2nd Precinct",39,0,0,0,39,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--9th Ward, 3rd Precinct",54,1,0,0,55,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--9th Ward, 4th Precinct",98,9,0,0,107,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--9th Ward, 5th Precinct",78,5,0,0,83,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--10th Ward, 1st Precinct",113,4,0,0,117,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--10th Ward, 2nd Precinct",27,2,0,0,29,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--10th Ward, 3rd Precinct",67,10,0,0,77,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--10th Ward, 4th Precinct",39,0,2,0,41,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--11th Ward,95,46,0,0,141,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--12th Ward,156,6,0,0,162,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--13th Ward, 1st Precinct",97,3,0,0,100,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--13th Ward, 2nd Precinct",134,4,1,0,139,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"City--13th Ward, 3rd Precinct",124,3,0,0,127,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--14th Ward,205,7,0,0,212,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,City--15th Ward,34,0,0,0,34,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Berrysburg Borough,82,0,0,0,82,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Dauphin Borough,180,2,0,0,182,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Elizabethville Borough,291,6,0,0,297,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Gratz Borough,148,5,0,0,153,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Halifax Borough,142,7,0,0,149,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Highspire--1st Precinct,172,2,0,0,174,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Highspire--2nd Precinct,189,9,0,0,198,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Hummelstown--1st Precinct,324,16,0,0,340,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Hummelstown--2nd Precinct,668,31,0,0,699,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Lykens Borough--1st Ward,135,4,0,0,139,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,Lykens Borough--2nd Ward,156,2,0,0,158,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"Middletown--1st Ward, 1st Precinct",123,1,0,0,124,50115,2308,55,0,52478
ATTORNEY GENERAL,David J. FREED,"Middletown--1st Ward, 2nd Precinct",229,12,3,0,244,50115,2308,55,0,52478
